"Index","Model","Delta_g"
231,"acrastt/RedPajama-INCITE-Chat-Instruct-3B-V1",0.000390000000000001
232,"Zangs3011/mistral_7b_2EPOCH_DolphinCoder",0.000209999999999988
233,"gradientai/v-alpha-tross",-0.000159999999999993
234,"Delcos/Starling-LM-11B-alpha",0
235,"eren23/DistiLabelOrca-TinyLLama-1.1B",0.000329999999999997
236,"eren23/finetune_test_qwen15-1-8b-sft-lora",0.000390000000000001
237,"mncai/agiin-11.1B-v0.0",2.000000000002e-05
238,"mncai/agiin-13.6B-v0.0",-7.00000000000145e-05
239,"bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED",-0.000130000000000019
240,"bn22/tinyllama_frankenmerge",2.000000000002e-05
241,"wannaphong/han-llm-7b-v1",0
242,"stanford-oval/Llama-2-7b-WikiChat-fused",0.000360000000000027
243,"Vmware/open-llama-7b-v2-open-instruct",0.00053000000000003
244,"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-15936",0
245,"L-R/LLmRa-1.3B_V2",8.00000000000245e-05
246,"L-R/LLmRa-1.3B",0.000269999999999992
247,"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",-0.000139999999999973
248,"BAAI/Aquila2-34B",0.000180000000000013
249,"lgaalves/gpt2_camel_physics-platypus",-0.00106000000000001
250,"lgaalves/gpt2-xl_lima",1.000000000001e-05
251,"lgaalves/tinyllama-1.1b-chat-v0.3_platypus",0.000200000000000033
252,"lgaalves/llama-2-13b-hf-platypus",1.000000000001e-05
253,"NeverSleep/Mistral-11B-SynthIAirOmniMix",3.99999999999845e-05
254,"nisten/shqiponja-59b-v1",8.00000000000245e-05
255,"nisten/BigCodeLlama-92b",0.000190000000000023
256,"KnutJaegersberg/internlm-20b-llama",1.000000000001e-05
257,"KnutJaegersberg/Deita-4b",0.000420000000000031
258,"KnutJaegersberg/Qwen-14B-Llamafied",0.000180000000000013
259,"KnutJaegersberg/Deacon-20B",8.00000000000245e-05
260,"KnutJaegersberg/megatron-GPT-2-345m-EvolInstruct",-0.000719999999999998
261,"KnutJaegersberg/RWKV-4-PilePlus-169M-20230520-done-ctx4096",-0.000939999999999996
262,"KnutJaegersberg/Deacon-34b-qlora-adapter",-7.9999999999969e-05
263,"KnutJaegersberg/Galpaca-30b-MiniOrca",0.000319999999999987
264,"KnutJaegersberg/RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098",-0.000539999999999985
265,"KnutJaegersberg/Deita-1_8B",0.000460000000000016
266,"dsvv-cair/alpaca-cleaned-llama-30b-bf16",0.000109999999999999
267,"jslin09/bloom-560m-finetuned-fraud",2.000000000002e-05
268,"lodrick-the-lafted/Kaiju-A-57B",0.000209999999999988
