b,cor_ability_delta,cor_ability_r2,cor_delta_r2,linear_r2,quad_r2,full_r2,turning_point,peak_delta
3974,0.5085175867229482,-0.3167389942130207,-0.9233972782571623,0.25859013600653036,0.9252903913957887,0.9331628412261439,97.52573339144118,4.3367381809221797e-4
3975,0.558467728164258,-0.3752599625787558,-0.92684178441763,0.31188620340094814,0.9206018661259814,0.9274085964495097,97.57690283203233,4.220592570857648e-4
3976,0.5224952791661692,-0.3040323155933177,-0.9210691604416227,0.2730013167509333,0.9156663722542835,0.92512055657597,97.59367470619607,4.1886961523732516e-4
3977,0.5131730087634029,-0.31166875277283,-0.9216771811384794,0.26334653692328397,0.9164436956293324,0.9242280146818866,97.59641205219575,4.1990220766226563e-4
3978,0.5653150861000215,-0.35735143587821294,-0.9233910117819724,0.3195811465722754,0.9321501651620927,0.9360302188304895,97.78395841229707,4.1871163331271e-4
3979,0.5691064004966657,-0.3648183536422502,-0.9242733286860864,0.32388209508627164,0.9271976650702483,0.9321227998966631,97.68096286176818,4.2034006738528307e-4
3980,0.4667711505921031,-0.22317163063847215,-0.916267489795329,0.21787530702507646,0.9376200023992572,0.9391111143605451,97.6719130454913,4.242441106293779e-4
3981,0.5296987828592267,-0.28825823750830876,-0.9204530877327949,0.28058080056254686,0.9358709074814449,0.9405759110421369,97.68676303447606,4.232462432210461e-4
3982,0.5788898072578921,-0.3791006409920948,-0.9213894778524876,0.3351134089470787,0.9259795361982822,0.9310689271296839,97.53432545187742,4.299980732706474e-4
3983,0.5535040330271336,-0.3385262731983598,-0.9224788902340951,0.3063667145773032,0.9339432248795774,0.9406918780532959,97.66877430913449,4.216615860854131e-4
3984,0.5572929334496823,-0.35743545366268237,-0.9261556624614632,0.31057541367295244,0.9147560257045473,0.9212560694218593,97.5086255029715,4.360348389400373e-4
3985,0.5787863833902485,-0.4021428384030866,-0.9291345065239245,0.3349936775979654,0.9346412138587925,0.9442836856246316,97.67074565544141,4.341701169460685e-4
3986,0.5782885893510126,-0.3589805567973925,-0.9225642477640112,0.3344176925735845,0.9342081417430395,0.9381657560275163,97.68216505075581,4.220659933025783e-4
3987,0.5172594183241457,-0.3271955865476458,-0.924159658771605,0.26755730584503296,0.914031119331153,0.9224328044034559,97.53373129895478,4.3462766770693134e-4
3988,0.6014515087542626,-0.3945902206120241,-0.9259284991182869,0.36174391738278033,0.9418552461157113,0.9475499151763429,97.68492986448813,4.161298571834053e-4
3989,0.5694871310329578,-0.36213192908374975,-0.922811890630258,0.32431559241214997,0.9360632668201961,0.9416781070319613,97.80323657884603,4.0379369481306424e-4
3990,0.5449145012502188,-0.3295310139847559,-0.9192206573299329,0.29693181367277377,0.9367546279049155,0.938942667787488,97.8158434097258,4.1303972929081223e-4
3991,0.5693217510427618,-0.36227489665518686,-0.9239974964194579,0.3241272562103963,0.9288880913158787,0.9350570862245843,97.67345380254825,4.1823219481628565e-4
3992,0.5576163708384727,-0.33604300279556754,-0.9240818575542358,0.3109360170270689,0.9313905692850802,0.9372464209348876,97.61340845122567,4.268547989380936e-4
3993,0.5628984379023052,-0.34500125250318275,-0.9220660907135833,0.31685465139285574,0.941887217469849,0.9448455391737464,97.71229210062982,4.314050788703505e-4
3994,0.5760656178776533,-0.34497390602417477,-0.924888711471945,0.3318515961007631,0.944392873263044,0.9480934135846422,97.89739104428023,4.1442587394215774e-4
3995,0.5336644125719847,-0.309520032938244,-0.9182845882192516,0.28479770524580117,0.9209950669533424,0.9270657820572697,97.62657515103847,4.1241217397669505e-4
3996,0.5293181992582293,-0.31731795179490907,-0.9240085032750407,0.28017775606597534,0.9292734571478142,0.9349729156535035,97.68538962937005,4.2086146400818064e-4
3997,0.6034728873866512,-0.3971644159253252,-0.9276382157585669,0.3641795258107822,0.9359841335009343,0.9402376546699885,97.78040378982935,4.208337739987286e-4
3998,0.5288613825101173,-0.3121877594123644,-0.9195992012511839,0.27969436191051295,0.934043270464185,0.9419783184568898,97.81650583406501,4.140136037302407e-4
3999,0.497888147837013,-0.28713085845142267,-0.9190255984931754,0.24789260775657213,0.9210170032360417,0.9339626171201304,97.47647309128604,4.263436391293181e-4
4000,0.543050811684673,-0.33675151518206203,-0.920366905964492,0.29490418407138275,0.9161922637028047,0.9182611365766973,97.5428656100329,4.2127099374256877e-4
4001,0.55275959368616,-0.3576928242811633,-0.9291534895554584,0.30554316841208706,0.9331192427656564,0.9393384518202819,97.65974263834562,4.310955022323974e-4
4002,0.46520359005405326,-0.24103734151288275,-0.9170573647561131,0.2164143801991791,0.9244491093057285,0.9303003810923274,97.62910038669249,4.3310740597218844e-4
4003,0.5807368253338523,-0.38195431908887617,-0.92465040864773,0.3372552602988405,0.9201810607171415,0.9274405774632258,97.46954550551047,4.223805197697654e-4
4004,0.5638748316614624,-0.33977568241528067,-0.9217874998537842,0.317954825781242,0.9362893782532419,0.942430490480788,97.6541889279307,4.1699789824434924e-4
4005,0.5530010546410377,-0.3264869471055472,-0.9231275496526086,0.30581016643410047,0.9373276868234282,0.939249396209247,97.7636360734884,4.284611087998734e-4
4006,0.5225415279500614,-0.30049428036820197,-0.9185800885223856,0.2730496484323849,0.9141847570390379,0.919354454143258,97.48071946418932,4.199178861856029e-4
4007,0.5068233819542761,-0.29715334585465086,-0.9235931718974772,0.2568699404955703,0.9186512014042103,0.9224102837194306,97.61037590762022,4.237072486787258e-4
4008,0.5949459710199188,-0.3867789312656573,-0.9259040084317172,0.3539607084328339,0.9402820834553842,0.9445208863361048,97.7976954030967,4.1952080307081085e-4
4009,0.534939272769037,-0.33934172409257163,-0.92329578390001,0.2861600255506659,0.9190805506201234,0.9274810758488387,97.6725318980538,4.144232273059108e-4
4010,0.565538341748817,-0.35802132721256313,-0.921819663067596,0.31983361598800175,0.9367777782795621,0.9419839974615284,97.63354616755616,4.218301242909228e-4
4011,0.5278231308339348,-0.31860808232876964,-0.920169136062993,0.2785972574433373,0.9263623718912145,0.9358872964144416,97.53788116683477,4.179664598416011e-4
4012,0.5233589599258511,-0.30808254092750526,-0.9235500507696791,0.2739046009346689,0.9222934649308034,0.9300341785462857,97.65143287680723,4.219027162021029e-4
4013,0.5563761530169684,-0.32822069255092023,-0.9228315843644302,0.30955442364596053,0.9432606846401395,0.947625805517838,97.85965227761623,4.151679959725034e-4
4014,0.5437407341680384,-0.34364130935954496,-0.9244086347458622,0.2956539859935974,0.9248596861382943,0.933248429423259,97.63158526904813,4.279789807716712e-4
4015,0.4951410464066246,-0.27405930865787,-0.920840666165814,0.2451646558366467,0.9193024681536168,0.9274402800274704,97.59372462493111,4.1349678416263344e-4
4016,0.5887335937529182,-0.3818640338767112,-0.9251870528710133,0.3466072444132277,0.9272060558234512,0.9341861331151613,97.62543755578956,4.2813651194549204e-4
4017,0.5500994085260122,-0.3628880212922336,-0.9267915836326638,0.30260935926066906,0.9376306967308486,0.9444902940709797,97.74456009273898,4.198627234543069e-4
4018,0.5290569871046522,-0.32040332705496655,-0.921099494816754,0.27990129560425153,0.9222706238736613,0.928414690628729,97.67110176953153,4.144680566733963e-4
4019,0.5314887587893339,-0.3456260453154501,-0.9267919266324008,0.28248030071942637,0.920383811029152,0.9298176299455092,97.63278805469682,4.278240808559333e-4
4020,0.5478832124748005,-0.3080670268544054,-0.9197553392204283,0.3001760145117077,0.937117794786795,0.9424549922272846,97.77538085961606,4.1223458314697953e-4
4021,0.4964860522888661,-0.26227675590304805,-0.919284785532768,0.24649840011738283,0.9269532129269242,0.9358866813704546,97.60982149086053,4.272658969901727e-4
4022,0.4687674048283084,-0.26158425071504227,-0.9206242199899203,0.21974287982946786,0.9121428461423127,0.9217281662624903,97.487552482685,4.2745050681680316e-4
4023,0.5220579236806796,-0.3118669166323319,-0.9213872942716349,0.27254447567778234,0.9172622587173108,0.9238552919359595,97.54469220766897,4.1855462161938944e-4
4024,0.534875610634428,-0.34846586829374426,-0.9237920275636501,0.28609191885155255,0.907228485614984,0.9204219180573349,97.37874708115574,4.3618626561735957e-4
4025,0.5852784545814896,-0.3844740217062338,-0.9211161026511386,0.34255086939729706,0.940560109689508,0.9422670468957867,97.78921999864622,4.148788281547189e-4
4026,0.521730097012969,-0.3032548821115833,-0.9187353260168347,0.27220229412916264,0.919764805775845,0.9291917490642001,97.49111846965971,4.2052671405075695e-4
4027,0.5320179116927428,-0.32149236481735194,-0.9237266389555198,0.28304305836190763,0.9332113386749353,0.9362653317910189,97.72500142315288,4.154356539141611e-4
4028,0.465885899710254,-0.2687161118063354,-0.9207495203511675,0.2170496715488328,0.9163226198012413,0.9203042843868208,97.50869069133846,4.2878532383685067e-4
4029,0.42603524343184607,-0.20614212929325496,-0.9156086374124209,0.18150602864603232,0.9317831672866398,0.9350236256651437,97.71294181254788,4.1332166006673166e-4
4030,0.45134133050877245,-0.21289705666896266,-0.9142247839946962,0.20370899662542932,0.910375411882772,0.9153662690401647,97.53733427041156,4.114685599897229e-4
4031,0.5594997417787676,-0.3646309970551916,-0.9227855728572355,0.31303996105050774,0.916107811513273,0.9208487949966805,97.61853980451164,4.1686459625532926e-4
4032,0.5002692328059307,-0.2952381396004379,-0.924043253312144,0.250269305292235,0.9249535284787473,0.9284971086193466,97.53751487107465,4.2653497023063813e-4
4033,0.5021224348389832,-0.2824042489797359,-0.9215706527123847,0.25212693956862836,0.9296953529423515,0.9364651003719338,97.51751143739493,4.3243219657829873e-4
