Model,Ability_PC1,Ability,Coherence_Cosine_Raw,Coherence_Cosine_Centered,Coherence_R2_1F,RMSE_1F,Delta_g,params_num,gfactor_meta,model_type,size_band,ability_decile
SummerSigh/GPTNeo350M-Instruct-SFT,-38.9111826359807,76.37475467663273,0.3696894177482854,-0.7174959418068163,0.514800426509264,0.34397234571285085,-4.5e-4,0.456,-1.083301802,instruction_or_chat,<2B,2
S4sch/zephyr-neural-chat-frankenmerge11b,18.395175814737215,111.1687826467597,0.8360568174524634,0.5532831035306521,0.3061221926525002,0.25217752343646793,6.00000000000045e-5,11.386,0.626852515,merge_or_moe,2B-20B,8
elyza/ELYZA-japanese-Llama-2-13b-instruct,17.268534804846013,110.48473326951374,0.8322222823651053,0.5286440730044949,0.2794645559227742,0.2524806727410293,8.9999999999979e-5,13,0.012044235,instruction_or_chat,2B-20B,7
elyza/ELYZA-japanese-Llama-2-7b-fast-instruct,10.673833963058076,106.48070628634544,0.7916426278659626,0.3399206844444558,0.11554607171318299,0.26889875977401884,2.5000000000002e-4,7,-0.415540333,instruction_or_chat,2B-20B,5
WangZeJun/bloom-820m-chat,-41.97568371897973,74.51411758017426,0.3397930368370098,-0.7247145521272337,0.5252111820649839,0.36340372880234517,-5.3999999999998e-4,0.751,-0.519872451,instruction_or_chat,<2B,2
rizla/trrapi-16b,25.878505147555305,115.71234774415915,0.8580667494155454,0.6172509604143437,0.3809987481324214,0.3003526835786395,-2.99999999999745e-5,18.793,1.75114901,base_or_other,2B-20B,10
rizla/rizla54,13.895668160710828,108.43686948042878,0.8072590088620143,0.4268965171262055,0.18224063633447707,0.26802661823854645,1.9000000000002e-4,53.575,0.562563426,base_or_other,20B+,6
rizla/rizla55b,16.39539727960109,109.95460062286747,0.8218332858316739,0.49590308269980604,0.24591986743116534,0.26142205678744124,1.3000000000001e-4,55.286,0.653908456,base_or_other,20B+,7
wang7776/vicuna-7b-v1.3-sparsity-10,10.866480306482384,106.59767310194258,0.7928411298609183,0.34009412913258263,0.11566401667044068,0.2735941152366074,2.5999999999998e-4,6.738,-0.331090525,base_or_other,2B-20B,5
NekoPunchBBB/Llama-2-13b-hf_Open-Platypus-QLoRA-multigpu,18.57673542132895,111.27901805868925,0.8447580785540677,0.6099420217602354,0.3720292699089571,0.21976517984801003,-1.000000000001e-5,13,-0.28195806,base_or_other,2B-20B,8
harborwater/open-llama-3b-v2-wizard-evol-instuct-v2-196k,4.152795718037294,102.52140415608282,0.7490261243208429,0.13374728686701995,0.01788833674428325,0.2801846655515438,3.4e-4,3.426,-1.30539569,base_or_other,2B-20B,5
pillowtalks-ai/delta13b,13.87124573108297,108.42204120094038,0.8104931896682888,0.4262159952423864,0.18166007460045164,0.2680778505371057,2.0000000000003e-4,13,0.002398896,base_or_other,2B-20B,6
Isotonic/smol_llama-4x220M-MoE,-48.17095713414648,70.75260625198071,0.25862180353322317,-0.8090960569045829,0.6546364292985489,0.3185897470870534,-0.00103999999999999,0.595,-1.049822689,base_or_other,<2B,1
chargoddard/llama-2-16b-nastychat,14.908010916568054,109.05152173045691,0.8185280900289941,0.4679160419099661,0.21894542227668334,0.2563898331573967,1.4999999999998e-4,16.188,0.004409956,instruction_or_chat,2B-20B,6
chargoddard/SmolLlamix-8x101M,-49.21915582854974,70.11618377326603,0.2442035775969773,-0.8176021296329735,0.6684732423803756,0.3156165593172762,-0.00111,0.399,-0.765941417,merge_or_moe,<2B,1
chargoddard/duplicitous-slurpbeast-13b,18.821549535008327,111.42765896607071,0.8422092825295605,0.57580017848264,0.3315458455406364,0.24334797381319087,3.99999999999845e-5,13.016,0.103219009,base_or_other,2B-20B,8
chargoddard/internlm2-base-7b-llama,14.963037862794824,109.08493179450366,0.8188794341778547,0.4560473420009578,0.20797917814612987,0.26588050003448027,1.7e-4,7.738,0.345024875,base_or_other,2B-20B,6
